Nazivna moc;Masa vozila;Kombinirana poraba goriva;Vrsta goriva (opis);Znamka;Tovarniöka oznaka oznaka;Komercialna oznaka;Drzava;Drzava (koda);Kategorija in vrsta vozila (opis);Najvisja hitrost;Oblika nadgradnje (opis);Komerc. oznaka  do prvega
13;530;4.9;0;FIAT;110F;500 / L;Italija;ITA;osebni avtomobil;110;limuzina;500
16;600;5.3;0;FIAT;126P 650E;126 P / 650 E;Poljska;POL;osebni avtomobil;116;limuzina;126 P 
17;600;6.4;0;FIAT;126 A1;126;Italija;ITA;osebni avtomobil;105;limuzina;126
18;620;5.3;0;FIAT;126A1;126P / 650E;Poljska;POL;osebni avtomobil;116;limuzina;126P 
18;620;5.8;0;ZASTAVA;CZ100;750 / LC;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;615;5.8;0;ZASTAVA;CZ100;750 / LE;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;605;5.8;0;ZASTAVA;CZ100;750;Jugoslavija;YUG;osebni avtomobil;100;limuzina;750
18;685;7.5;0;ZASTAVA;CZ100;750 / LC;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;625;7.5;0;ZASTAVA;100D;750 /;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
19.4;673;7.5;0;CITROEN;AM;AMI 6 /;Francija;FRA;osebni avtomobil;113;limuzina;AMI 6 
19.8;1030;11.5;0;FIAT;503B;503B /;Italija;ITA;osebni avtomobil;75;kabriolet;503B 
20;600;6.1;0;CITROEN;AZ-L;2 CV;Francija;FRA;osebni avtomobil;110;kabriolet;2 CV
22;605;5.8;0;ZASTAVA;CZ100;750 / LE;Jugoslavija;YUG;osebni avtomobil;100;limuzina;750
22;715;7.5;0;ZASTAVA;100L1.100;750 / S;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
22;640;7.5;0;ZASTAVA;CZ100;750 / SC;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
22;625;7.5;0;ZASTAVA;CZ100;750 / SE;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
24;605;5.8;0;ZASTAVA;CZ100;850 //;Jugoslavija;YUG;osebni avtomobil;110;limuzina;850
24;650;6.1;0;CITROEN;AZ-L;2 CV / 6;Francija;FRA;osebni avtomobil;110;kabriolet;2 CV 
24;725;7.5;0;CITROEN;-;AMI 8 / BREAK;Francija;FRA;osebni avtomobil;120;karavan;AMI 8 
24;675;7.5;0;CITROEN;AYS4LC;DIANA 6 / LC;Jugoslavija;YUG;osebni avtomobil;118;vozilo z dviûnimi vrati zadaj;DIANA 6 
24;615;7.5;0;CITROEN;AYCE00;MEHARI / 4X4;Francija;FRA;osebni avtomobil;118;kabriolet;MEHARI 
24;600;7.5;0;CITROEN;-;DIANA 6 /;Francija;FRA;osebni avtomobil;118;kabriolet;DIANA 6 
25;800;5.9;0;RENAULT;112800;R4 / GTL;Francija;FRA;osebni avtomobil;125;vozilo z dviûnimi vrati zadaj;R4 
25;720;5.9;0;RENAULT;1128;R4 / GTL;Francija;FRA;osebni avtomobil;120;vozilo z dviûnimi vrati zadaj;R4 
25;870;7.2;0;VOLKSWAGEN;11;1200 J;Nemcija;DEU;osebni avtomobil;115;limuzina;1200 J
25;900;7.5;0;VOLKSWAGEN;11;1200 J /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200 J 
25;840;7.5;0;VOLKSWAGEN;11;1200 J /;Nemcija;DEU;osebni avtomobil;115;kabriolet;1200 J 
25;680;7.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;760;9.2;0;VOLKSWAGEN;-;1200 / J;Nemcija;DEU;osebni avtomobil;135;limuzina;1200
25;920;9.5;1;VOLKSWAGEN;11;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;860;9.5;0;VOLKSWAGEN;-;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;840;9.5;0;VOLKSWAGEN;11;/ 1200 / J;Nemcija;DEU;osebni avtomobil;120;limuzina;/ 1200 / J
25;820;9.5;0;VOLKSWAGEN;11;1300 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1300
25;800;9.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;117;limuzina;1200
25;800;9.5;0;VOLKSWAGEN;11;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;740;9.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;115;kabriolet;1200
29;730;6.1;0;FIAT;187AXA1A00;SEICENTO / 900 /;Italija;ITA;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;SEICENTO 
29;790;6.7;0;FIAT;141GT53A;PANDA / 900 / i.e.;Italija;ITA;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;PANDA 
29;680;7.5;0;VOLKSWAGEN;11;1300;Nemcija;DEU;osebni avtomobil;115;limuzina;1300
30;815;3.4;1;SMART;1400A0-NCAAZ200;FORTWO / CABRIO 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kabriolet;FORTWO 
30;805;3.4;1;SMART;1300A0-NCAAZ200;FORTWO / COUPE 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;3.4;1;SMART;MC01-1300A0NCAAZ200;COUPE / 30;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
30;805;3.6;1;SMART;1300B0-NCAAZ211;FORTWO / COUPE 30/CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;3.6;1;SMART;MC01-1300B0NCAAZ21;COUPE / 30D;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
30;805;3.8;1;SMART;1300C0-KHAAZ200;FORTWO / COUPE 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;4.8;1;SMART;MC-01;COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
32;890;9.2;0;VOLKSWAGEN;13;1303 J /;Nemcija;DEU;osebni avtomobil;115;limuzina;1303 J 
33;875;3.3;1;SMART;4402C0-IZAAA200;FORTWO / CABRIO / CDI;Nemcija;DEU;osebni avtomobil;135;kabriolet;FORTWO 
33;845;3.3;1;SMART;4302C0-IZAAA200;FORTWO / COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
33;845;3.4;1;SMART;4302E0-IZAAA200;FORTWO / COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
33;795;4.9;0;SMART;MC 01-MCC01B04E3-ASG6A00A0;SMART /;Nemcija;DEU;osebni avtomobil;135;kupe;SMART 
33;925;6.5;0;OPEL;73-X12SZ;CORSA / 1.2 / I;Nemcija;DEU;osebni avtomobil;145;vozilo z dviûnimi vrati zadaj;CORSA 
33;885;8.9;0;OPEL;56;OLIMPIA / RECORD / 1.5;Nemcija;DEU;osebni avtomobil;135;limuzina;OLIMPIA 
35;690;7.1;0;FIAT;850;850 SPECIAL /;Jugoslavija;YUG;osebni avtomobil;135;limuzina;850 SPECIAL 
35;765;7.8;0;FIAT;100GB16;850 / SPECIAL;Italija;ITA;osebni avtomobil;135;limuzina;850
37;805;4.7;0;SMART;1330C0-MAAAZ200;FORTWO / COUPE 37 /;Francija;FRA;osebni avtomobil;135;kupe;FORTWO 
37;940;4.9;0;VOLKSWAGEN;6N SC AER X0 1 SG FM585035;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;1067;5.7;0;VOLKSWAGEN;SCAUCX01-SGFM5850351N113I;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;995;5.7;0;VOLKSWAGEN;6N-AUC;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;971;5.7;0;VOLKSWAGEN;6X;LUPO / 1.0 / I;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;955;5.8;0;SEAT;6HS;AROSA / 1.0;äpanija;ESP;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;AROSA 
37;916;5.8;0;SEAT;SCAUCX01-SGFM5850351N1I4;AROSA / 1.0 /;äpanija;ESP;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;AROSA 
37;971;5.8;0;VOLKSWAGEN;6X-AUC;LUPO / 1.0;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;956;5.8;0;VOLKSWAGEN;6X;LUPO / 1.0;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;992;5.9;0;VOLKSWAGEN;6N SCAUCX01;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;915;5.9;0;VOLKSWAGEN;6N10H4;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;887;5.9;0;VOLKSWAGEN;SCALDX01-SGFM5850351N113I;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;900;6.2;0;CITROEN;S1CDZF;SAXO / 1.0 / i;Francija;FRA;osebni avtomobil;149;vozilo z dviûnimi vrati zadaj;SAXO 
37;870;6.2;0;PEUGEOT;1CCDZE;106 / 1.0 / i;Francija;FRA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;106
37;830;6.5;1;VOLKSWAGEN;17CK-179;GOLF / 1.5 / D;Nemcija;DEU;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;GOLF 
37;900;9.1;0;VOLKSWAGEN;17;GOLF / 1.1 / L;Nemcija;DEU;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;GOLF 
